iter	Passed	Remaining
0	133	133031
1	133	66814
2	134	44789
3	135	33752
4	136	27111
5	137	22736
6	138	19603
7	138	17228
8	139	15374
9	140	13919
10	141	12728
11	142	11720
12	143	10863
13	143	10112
14	144	9470
15	144	8913
16	145	8413
17	146	7970
18	146	7570
19	147	7207
20	147	6880
21	148	6580
22	148	6308
23	148	6058
24	149	5828
25	149	5616
26	150	5420
27	150	5239
28	151	5068
29	151	4911
30	152	4764
31	152	4624
32	153	4495
33	153	4371
34	154	4254
35	154	4143
36	155	4039
37	155	3941
38	156	3849
39	156	3759
40	157	3674
41	157	3595
42	158	3520
43	158	3448
44	159	3378
45	159	3311
46	160	3246
47	160	3185
48	161	3126
49	161	3070
50	162	3015
51	162	2963
52	163	2912
53	163	2863
54	163	2816
55	164	2771
56	164	2728
57	165	2685
58	165	2644
59	166	2604
60	166	2566
61	167	2529
62	167	2493
63	168	2459
64	168	2425
65	169	2393
66	169	2361
67	170	2331
68	170	2302
69	171	2281
70	172	2254
71	172	2228
72	173	2201
73	174	2177
74	174	2153
75	175	2128
76	175	2103
77	175	2080
78	176	2057
79	177	2036
80	177	2014
81	178	1993
82	178	1969
83	178	1949
84	179	1929
85	179	1909
86	180	1890
87	180	1871
88	181	1853
89	181	1835
90	181	1817
91	182	1802
92	183	1786
93	183	1770
94	184	1754
95	184	1738
96	185	1723
97	185	1709
98	186	1696
99	186	1682
100	187	1669
101	188	1656
102	188	1643
103	189	1630
104	189	1618
105	190	1606
106	191	1594
107	191	1582
108	192	1571
109	192	1558
110	193	1547
111	193	1535
112	194	1523
113	194	1513
114	195	1503
115	195	1492
116	196	1480
117	196	1469
118	197	1459
119	197	1448
120	198	1438
121	198	1428
122	198	1418
123	199	1409
124	199	1399
125	200	1390
126	201	1381
127	201	1373
128	202	1364
129	202	1355
130	202	1346
131	203	1337
132	203	1329
133	204	1320
134	204	1312
135	205	1304
136	205	1296
137	206	1288
138	206	1280
139	207	1273
140	207	1266
141	208	1257
142	208	1250
143	209	1243
144	209	1236
145	210	1229
146	210	1222
147	211	1215
148	211	1208
149	212	1202
150	212	1195
151	213	1189
152	213	1182
153	214	1176
154	214	1170
155	215	1165
156	215	1159
157	216	1153
158	216	1147
159	217	1141
160	217	1134
161	218	1128
162	218	1122
163	219	1118
164	219	1112
165	220	1107
166	220	1101
167	221	1096
168	221	1090
169	222	1085
170	222	1080
171	223	1074
172	223	1069
173	224	1064
174	224	1059
175	225	1054
176	225	1050
177	226	1045
178	226	1040
179	227	1035
180	227	1030
181	228	1025
182	228	1020
183	229	1015
184	229	1010
185	229	1006
186	230	1001
187	230	997
188	231	993
189	232	989
190	232	985
191	233	980
192	233	976
193	234	972
194	234	968
195	234	963
196	235	960
197	235	955
198	236	951
199	236	947
200	237	943
201	237	940
202	238	936
203	239	932
204	239	929
205	240	925
206	240	921
207	241	917
208	241	913
209	241	910
210	242	906
211	242	902
212	243	898
213	243	895
214	244	892
215	244	889
216	245	885
217	245	881
218	246	878
219	246	874
220	247	871
221	247	867
222	248	864
223	248	860
224	249	857
225	249	854
226	250	851
227	250	848
228	251	845
229	251	842
230	251	838
231	252	835
232	252	832
233	253	829
234	253	826
235	254	823
236	254	820
237	255	817
238	255	814
239	256	811
240	256	809
241	257	806
242	257	803
243	258	800
244	258	797
245	259	794
246	259	791
247	260	789
248	260	786
249	261	783
250	261	780
251	262	778
252	262	775
253	263	772
254	263	770
255	264	767
256	264	765
257	265	762
258	265	759
259	266	757
260	266	754
261	267	752
262	267	749
263	267	746
264	268	744
265	268	742
266	269	739
267	269	737
268	270	734
269	270	732
270	271	729
271	271	727
272	272	724
273	272	722
274	273	720
275	273	717
276	274	715
277	274	713
278	275	711
279	275	709
280	276	706
281	276	704
282	277	702
